date,new_cases
11-Feb,1
12-Feb,0
13-Feb,1
14-Feb,0
15-Feb,0
16-Feb,0
17-Feb,1
18-Feb,0
19-Feb,1
20-Feb,0
21-Feb,0
22-Feb,0
23-Feb,2
24-Feb,0
25-Feb,2
26-Feb,0
27-Feb,1
28-Feb,5
29-Feb,1
01-Mar,8
02-Mar,12
03-Mar,6
04-Mar,18
05-Mar,14
06-Mar,23
07-Mar,14
08-Mar,22
09-Mar,53
10-Mar,91
11-Mar,183
12-Mar,165
13-Mar,136
14-Mar,149
15-Mar,165
16-Mar,234
17-Mar,310
18-Mar,356
19-Mar,333
20-Mar,426
21-Mar,350
22-Mar,437
23-Mar,687
24-Mar,636
25-Mar,756
26-Mar,762
27-Mar,820
28-Mar,577
29-Mar,594
30-Mar,844
31-Mar,915
01-Apr,963
02-Apr,1024
03-Apr,935
04-Apr,717
05-Apr,604
06-Apr,835
07-Apr,904
08-Apr,832
09-Apr,771
10-Apr,573
11-Apr,491
12-Apr,414
13-Apr,565
14-Apr,556
15-Apr,555
16-Apr,491
17-Apr,426
18-Apr,306
19-Apr,246
20-Apr,378
21-Apr,342
22-Apr,275
23-Apr,319
24-Apr,247
25-Apr,160
26-Apr,91
27-Apr,189
28-Apr,181
29-Apr,250
30-Apr,255
01-May,196
02-May,127
03-May,65
04-May,150
05-May,137
06-May,144
07-May,143
08-May,94
09-May,60
10-May,35
11-May,68
12-May,78
13-May,85
14-May,86
15-May,58
16-May,22
17-May,33
18-May,54
19-May,51
20-May,59
21-May,49
22-May,40
23-May,10
24-May,18
25-May,20
26-May,28
27-May,37
28-May,35
29-May,32
30-May,17
31-May,16
01-Jun,23
02-Jun,21
03-Jun,45
04-Jun,19
05-Jun,23
06-Jun,14
07-Jun,16
08-Jun,30
09-Jun,27
10-Jun,28
11-Jun,16
12-Jun,16
13-Jun,7
14-Jun,14
15-Jun,11
16-Jun,19
17-Jun,2
18-Jun,3