Date,borough_NM,borough_CD,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
10/11/2020,Kensington and Chelsea,E09000020,-69,-9,0,-63,-59,22
10/11/2020,Kingston upon Thames,E09000021,-61,-18,NA,-52,-53,21
11/11/2020,City of London,E09000001,-91,-72,-86,-81,-66,NA
11/11/2020,Westminster,E09000033,-87,-46,-58,-76,-64,25
11/11/2020,Barking and Dagenham,E09000002,-36,-2,14,-40,-35,14
11/11/2020,Barnet,E09000003,-46,-11,37,-48,-49,21
11/11/2020,Bexley,E09000004,-46,-7,33,-49,-46,19
11/11/2020,Brent,E09000005,-48,-4,44,-44,-45,17
11/11/2020,Bromley,E09000006,-51,-9,16,-51,-51,22
11/11/2020,Camden,E09000007,-80,-39,-7,-74,-62,26
11/11/2020,Croydon,E09000008,-50,-7,31,-52,-42,19
11/11/2020,Ealing,E09000009,-40,-11,29,-49,-46,19
11/11/2020,Enfield,E09000010,-42,-7,15,-40,-41,17
11/11/2020,Hackney,E09000012,-60,-9,35,-58,-56,23
11/11/2020,Hammersmith and Fulham,E09000013,-68,-28,8,-57,-61,25
11/11/2020,Haringey,E09000014,-50,-14,15,-53,-53,21
11/11/2020,Harrow,E09000015,-48,-6,51,-43,-42,18
11/11/2020,Havering,E09000016,-50,-12,1,-43,-43,17
11/11/2020,Hillingdon,E09000017,-48,-11,54,-69,-41,18
11/11/2020,Hounslow,E09000018,-42,-12,25,-45,-42,18
11/11/2020,Islington,E09000019,-74,-22,22,-69,-65,29
11/11/2020,Lambeth,E09000022,-62,-15,1,-67,-56,25
11/11/2020,Lewisham,E09000023,-42,-2,44,-49,-52,22
11/11/2020,Merton,E09000024,-55,-18,15,-52,-52,21
11/11/2020,Newham,E09000025,-58,-14,118,-51,-45,18
11/11/2020,Redbridge,E09000026,-43,-7,4,-46,-45,18
11/11/2020,Richmond upon Thames,E09000027,-54,-5,27,-56,-59,24
11/11/2020,Southwark,E09000028,-63,-17,-20,-62,-58,24
11/11/2020,Sutton,E09000029,-43,-3,45,-53,-51,20
11/11/2020,Tower Hamlets,E09000030,-64,-22,-29,-66,-63,26
11/11/2020,Waltham Forest,E09000031,-36,-5,17,-51,-47,19
11/11/2020,Wandsworth,E09000032,-55,-12,22,-56,-59,27
11/11/2020,Greenwich,E09000011,-53,-5,-4,-45,-51,20
11/11/2020,Kensington and Chelsea,E09000020,-71,-10,-8,-62,-58,23
11/11/2020,Kingston upon Thames,E09000021,-62,-19,NA,-54,-52,22
12/11/2020,City of London,E09000001,-92,-73,-85,-80,-68,NA
12/11/2020,Westminster,E09000033,-87,-46,-52,-75,-64,25
12/11/2020,Barking and Dagenham,E09000002,-35,-2,37,-36,-36,14
12/11/2020,Barnet,E09000003,-46,-8,65,-50,-49,20
12/11/2020,Bexley,E09000004,-47,-3,44,-48,-45,18
12/11/2020,Brent,E09000005,-46,-1,84,-42,-46,17
12/11/2020,Bromley,E09000006,-51,-5,37,-54,-51,22
12/11/2020,Camden,E09000007,-80,-34,-3,-73,-63,26
12/11/2020,Croydon,E09000008,-52,0,55,-52,-43,19
12/11/2020,Ealing,E09000009,-38,-4,53,-50,-45,19
12/11/2020,Enfield,E09000010,-41,-2,31,-42,-41,17
12/11/2020,Hackney,E09000012,-61,-2,44,-56,-56,23
12/11/2020,Hammersmith and Fulham,E09000013,-68,-23,22,-58,-61,25
12/11/2020,Haringey,E09000014,-47,-11,37,-51,-54,21
12/11/2020,Harrow,E09000015,-46,-4,75,-44,-42,18
12/11/2020,Havering,E09000016,-49,-4,15,-45,-43,18
12/11/2020,Hillingdon,E09000017,-47,-2,73,-69,-42,18
12/11/2020,Hounslow,E09000018,-40,-5,42,-45,-43,17
12/11/2020,Islington,E09000019,-74,-18,37,-68,-66,28
12/11/2020,Lambeth,E09000022,-62,-12,11,-65,-57,25
12/11/2020,Lewisham,E09000023,-41,4,74,-50,-55,22
12/11/2020,Merton,E09000024,-53,-15,26,-53,-53,22
12/11/2020,Newham,E09000025,-56,-10,132,-54,-47,17
12/11/2020,Redbridge,E09000026,-40,-8,19,-50,-46,18
12/11/2020,Richmond upon Thames,E09000027,-50,0,70,-54,-59,24
12/11/2020,Southwark,E09000028,-62,-15,-14,-63,-56,24
12/11/2020,Sutton,E09000029,-45,-7,53,-54,-49,19
12/11/2020,Tower Hamlets,E09000030,-64,-20,-20,-66,-64,27
12/11/2020,Waltham Forest,E09000031,-35,-1,40,-50,-49,19
12/11/2020,Wandsworth,E09000032,-54,-7,38,-53,-59,27
12/11/2020,Greenwich,E09000011,-51,-3,16,-46,-53,20
12/11/2020,Kensington and Chelsea,E09000020,-70,-8,1,-62,-58,23
12/11/2020,Kingston upon Thames,E09000021,-61,-17,NA,-52,-52,22
13/11/2020,City of London,E09000001,-92,-71,-85,-79,-65,NA
13/11/2020,Westminster,E09000033,-89,-45,-61,-75,-63,25
13/11/2020,Barking and Dagenham,E09000002,-36,2,33,-32,-35,14
13/11/2020,Barnet,E09000003,-48,-8,54,-49,-47,20
13/11/2020,Bexley,E09000004,-50,-1,42,-47,-45,19
13/11/2020,Brent,E09000005,-49,2,68,-40,-45,18
13/11/2020,Bromley,E09000006,-53,0,27,-49,-50,22
13/11/2020,Camden,E09000007,-81,-32,-3,-73,-60,26
13/11/2020,Croydon,E09000008,-54,1,48,-50,-41,19
13/11/2020,Ealing,E09000009,-40,-5,37,-48,-45,19
13/11/2020,Enfield,E09000010,-40,-2,17,-39,-39,17
13/11/2020,Hackney,E09000012,-64,4,38,-53,-54,23
13/11/2020,Hammersmith and Fulham,E09000013,-71,-23,11,-57,-60,25
13/11/2020,Haringey,E09000014,-47,-8,33,-49,-53,21
13/11/2020,Harrow,E09000015,-50,4,66,-43,-44,19
13/11/2020,Havering,E09000016,-51,-7,9,-42,-43,18
13/11/2020,Hillingdon,E09000017,-48,-1,49,-70,-40,18
13/11/2020,Hounslow,E09000018,-41,-4,37,-40,-44,18
13/11/2020,Islington,E09000019,-75,-16,43,-67,-64,29
13/11/2020,Lambeth,E09000022,-65,-5,3,-63,-56,25
13/11/2020,Lewisham,E09000023,-43,4,49,-48,-53,23
13/11/2020,Merton,E09000024,-56,-6,15,-50,-48,21
13/11/2020,Newham,E09000025,-55,-8,142,-47,-46,18
13/11/2020,Redbridge,E09000026,-39,-2,11,-42,-45,18
13/11/2020,Richmond upon Thames,E09000027,-55,0,40,-54,-57,23
13/11/2020,Southwark,E09000028,-64,-11,-18,-59,-55,24
13/11/2020,Sutton,E09000029,-48,-2,50,-52,-48,19
13/11/2020,Tower Hamlets,E09000030,-64,-15,-30,-64,-63,26
13/11/2020,Waltham Forest,E09000031,-38,-3,30,-48,-48,20
13/11/2020,Wandsworth,E09000032,-57,-3,35,-53,-57,27
13/11/2020,Greenwich,E09000011,-55,-3,6,-41,-50,20
13/11/2020,Kensington and Chelsea,E09000020,-73,-6,-6,-61,-57,23
13/11/2020,Kingston upon Thames,E09000021,-62,-12,NA,-50,-50,22
14/11/2020,City of London,E09000001,-91,-63,-88,-78,NA,NA
14/11/2020,Westminster,E09000033,-92,-54,-79,-81,-45,17
14/11/2020,Barking and Dagenham,E09000002,-46,-11,-19,-43,-29,12
14/11/2020,Barnet,E09000003,-61,-17,-29,-56,-38,15
14/11/2020,Bexley,E09000004,-58,-10,-12,-57,-27,14
14/11/2020,Brent,E09000005,-62,-15,-5,-50,-38,15
14/11/2020,Bromley,E09000006,-62,-10,-25,-57,-30,15
14/11/2020,Camden,E09000007,-84,-43,-48,-78,-36,18
14/11/2020,Croydon,E09000008,-64,-11,-2,-59,-29,14
14/11/2020,Ealing,E09000009,-54,-15,-23,-53,-36,15
14/11/2020,Enfield,E09000010,-53,-14,-33,-48,-30,14
14/11/2020,Hackney,E09000012,-72,-12,-15,-62,-36,16
14/11/2020,Hammersmith and Fulham,E09000013,-80,-32,-25,-67,-45,18
14/11/2020,Haringey,E09000014,-60,-20,-29,-56,-45,16
14/11/2020,Harrow,E09000015,-63,-14,-20,-49,-28,15
14/11/2020,Havering,E09000016,-61,-17,-27,-51,-30,14
14/11/2020,Hillingdon,E09000017,-59,-17,-9,-74,-31,15
14/11/2020,Hounslow,E09000018,-53,-11,-35,-49,-34,15
14/11/2020,Islington,E09000019,-78,-12,-10,-67,-36,17
14/11/2020,Lambeth,E09000022,-69,-15,-42,-63,-35,17
14/11/2020,Lewisham,E09000023,-53,-8,-4,-54,-36,15
14/11/2020,Merton,E09000024,-62,-17,-20,-59,-35,15
14/11/2020,Newham,E09000025,-66,-20,17,-58,-37,14
14/11/2020,Redbridge,E09000026,-50,-14,-40,-52,-31,14
14/11/2020,Richmond upon Thames,E09000027,-66,-9,-34,-64,-41,17
14/11/2020,Southwark,E09000028,-68,-21,-41,-63,-37,16
14/11/2020,Sutton,E09000029,-58,-16,-24,-60,-35,15
14/11/2020,Tower Hamlets,E09000030,-64,-26,-52,-66,-40,17
14/11/2020,Waltham Forest,E09000031,-51,-10,-30,-56,-37,15
14/11/2020,Wandsworth,E09000032,-67,-13,-13,-60,-35,18
14/11/2020,Greenwich,E09000011,-64,-13,-42,-51,-36,15
14/11/2020,Kensington and Chelsea,E09000020,-83,-22,-48,-75,-42,17
14/11/2020,Kingston upon Thames,E09000021,-74,-22,-10,-60,-38,17
15/11/2020,City of London,E09000001,-87,-65,-84,-78,NA,NA
15/11/2020,Westminster,E09000033,-87,-48,-63,-78,-46,13
15/11/2020,Barking and Dagenham,E09000002,-49,-15,-3,-42,-31,9
15/11/2020,Barnet,E09000003,-58,-16,29,-55,-37,12
15/11/2020,Bexley,E09000004,-61,-18,-15,-54,-31,11
15/11/2020,Brent,E09000005,-62,-9,27,-49,-40,11
15/11/2020,Bromley,E09000006,-62,-15,-3,-55,-31,12
15/11/2020,Camden,E09000007,-79,-39,-8,-76,-38,13
15/11/2020,Croydon,E09000008,-64,-15,11,-58,-28,11
15/11/2020,Ealing,E09000009,-53,-13,7,-53,-37,12
15/11/2020,Enfield,E09000010,-54,-14,0,-45,-31,11
15/11/2020,Hackney,E09000012,-64,-14,17,-57,-34,12
15/11/2020,Hammersmith and Fulham,E09000013,-75,-31,10,-64,-43,12
15/11/2020,Haringey,E09000014,-59,-21,5,-56,-46,12
15/11/2020,Harrow,E09000015,-58,-15,37,-45,-30,11
15/11/2020,Havering,E09000016,-62,-20,-1,-48,-29,11
15/11/2020,Hillingdon,E09000017,-56,-16,51,-72,-32,11
15/11/2020,Hounslow,E09000018,-51,-20,5,-49,-37,11
15/11/2020,Islington,E09000019,-73,-16,34,-67,-36,12
15/11/2020,Lambeth,E09000022,-66,-18,-10,-63,-34,13
15/11/2020,Lewisham,E09000023,-55,-13,28,-56,-37,12
15/11/2020,Merton,E09000024,-60,-22,8,-58,-37,12
15/11/2020,Newham,E09000025,-61,-20,66,-52,-37,10
15/11/2020,Redbridge,E09000026,-53,-16,-10,-47,-33,10
15/11/2020,Richmond upon Thames,E09000027,-60,-6,17,-59,-43,12
15/11/2020,Southwark,E09000028,-65,-20,-13,-63,-39,12
15/11/2020,Sutton,E09000029,-59,-18,9,-57,-36,11
15/11/2020,Tower Hamlets,E09000030,-61,-35,-25,-61,-39,12
15/11/2020,Waltham Forest,E09000031,-48,-10,30,-52,-41,11
15/11/2020,Wandsworth,E09000032,-62,-27,24,-62,-32,13
15/11/2020,Greenwich,E09000011,-66,-16,-15,-52,-38,12
15/11/2020,Kensington and Chelsea,E09000020,-79,-15,2,-67,-41,13
15/11/2020,Kingston upon Thames,E09000021,-72,-23,46,-52,-45,12
16/11/2020,City of London,E09000001,-90,-74,-85,-80,-65,NA
16/11/2020,Westminster,E09000033,-86,-45,-55,-74,-64,24
16/11/2020,Barking and Dagenham,E09000002,-33,-8,23,-37,-37,13
16/11/2020,Barnet,E09000003,-48,-13,38,-50,-49,19
16/11/2020,Bexley,E09000004,-46,-11,27,-49,-47,18
16/11/2020,Brent,E09000005,-49,-7,65,-44,-46,17
16/11/2020,Bromley,E09000006,-50,-10,14,-51,-51,20
16/11/2020,Camden,E09000007,-78,-41,0,-72,-63,25
16/11/2020,Croydon,E09000008,-51,-7,40,-49,-41,18
16/11/2020,Ealing,E09000009,-41,-12,39,-47,-45,18
16/11/2020,Enfield,E09000010,-39,-8,18,-42,-41,16
16/11/2020,Hackney,E09000012,-58,-13,37,-58,-57,22
16/11/2020,Hammersmith and Fulham,E09000013,-68,-29,5,-56,-61,24
16/11/2020,Haringey,E09000014,-48,-17,21,-51,-54,20
16/11/2020,Harrow,E09000015,-47,-8,56,-45,-44,18
16/11/2020,Havering,E09000016,-49,-11,-7,-44,-44,16
16/11/2020,Hillingdon,E09000017,-47,-9,50,-71,-42,17
16/11/2020,Hounslow,E09000018,-41,-12,22,-45,-44,17
16/11/2020,Islington,E09000019,-72,-28,12,-66,-66,27
16/11/2020,Lambeth,E09000022,-60,-16,5,-64,-56,23
16/11/2020,Lewisham,E09000023,-41,-7,40,-48,-54,21
16/11/2020,Merton,E09000024,-52,-14,20,-50,-52,20
16/11/2020,Newham,E09000025,-53,-14,133,-48,-47,17
16/11/2020,Redbridge,E09000026,-43,-12,2,-48,-46,17
16/11/2020,Richmond upon Thames,E09000027,-52,-9,26,-56,-60,22
16/11/2020,Southwark,E09000028,-60,-18,-15,-62,-57,23
16/11/2020,Sutton,E09000029,-44,-10,51,-54,-50,18
16/11/2020,Tower Hamlets,E09000030,-62,-24,-28,-64,-64,25
16/11/2020,Waltham Forest,E09000031,-36,-8,16,-50,-49,18
16/11/2020,Wandsworth,E09000032,-56,-18,24,-56,-60,25
16/11/2020,Greenwich,E09000011,-48,-8,5,-42,-53,19
16/11/2020,Kensington and Chelsea,E09000020,-71,-10,-12,-63,-58,22
16/11/2020,Kingston upon Thames,E09000021,-60,-20,NA,-52,-52,21
17/11/2020,City of London,E09000001,-91,-72,-86,-80,-69,NA
17/11/2020,Westminster,E09000033,-86,-45,-55,-74,-64,24
17/11/2020,Barking and Dagenham,E09000002,-35,-9,36,-36,-37,14
17/11/2020,Barnet,E09000003,-45,-12,52,-47,-49,20
17/11/2020,Bexley,E09000004,-46,-6,32,-52,-46,18
17/11/2020,Brent,E09000005,-48,-7,76,-42,-45,17
17/11/2020,Bromley,E09000006,-48,-3,21,-51,-51,21
17/11/2020,Camden,E09000007,-79,-36,-9,-73,-63,25
17/11/2020,Croydon,E09000008,-51,-3,40,-52,-44,18
17/11/2020,Ealing,E09000009,-40,-12,41,-48,-45,19
17/11/2020,Enfield,E09000010,-41,-8,22,-42,-41,16
17/11/2020,Hackney,E09000012,-60,-10,36,-56,-57,22
17/11/2020,Hammersmith and Fulham,E09000013,-68,-27,3,-57,-62,24
17/11/2020,Haringey,E09000014,-47,-12,31,-50,-55,20
17/11/2020,Harrow,E09000015,-47,-8,58,-43,-41,18
17/11/2020,Havering,E09000016,-49,-8,-1,-44,-44,17
17/11/2020,Hillingdon,E09000017,-46,-9,47,-69,-42,18
17/11/2020,Hounslow,E09000018,-40,-13,40,-45,-44,17
17/11/2020,Islington,E09000019,-72,-23,25,-69,-66,27
17/11/2020,Lambeth,E09000022,-62,-13,7,-64,-55,24
17/11/2020,Lewisham,E09000023,-41,-2,52,-49,-54,22
17/11/2020,Merton,E09000024,-52,-16,21,-51,-52,21
17/11/2020,Newham,E09000025,-52,-13,133,-50,-48,17
17/11/2020,Redbridge,E09000026,-42,-4,7,-47,-48,17
17/11/2020,Richmond upon Thames,E09000027,-55,-4,31,-56,-59,23
17/11/2020,Southwark,E09000028,-60,-17,-16,-61,-57,23
17/11/2020,Sutton,E09000029,-44,-10,41,-53,-50,19
17/11/2020,Tower Hamlets,E09000030,-63,-21,-28,-65,-65,25
17/11/2020,Waltham Forest,E09000031,-38,-8,27,-50,-51,19
17/11/2020,Wandsworth,E09000032,-55,-13,30,-54,-59,26
17/11/2020,Greenwich,E09000011,-50,-7,2,-43,-53,20
17/11/2020,Kensington and Chelsea,E09000020,-70,-8,-10,-63,-60,22
17/11/2020,Kingston upon Thames,E09000021,-60,-17,NA,-50,-52,22
18/11/2020,City of London,E09000001,-91,-72,-84,-80,-65,NA
18/11/2020,Westminster,E09000033,-87,-46,-58,-75,-63,24
18/11/2020,Barking and Dagenham,E09000002,-36,-1,20,-40,-36,14
18/11/2020,Barnet,E09000003,-47,-12,27,-49,-49,21
18/11/2020,Bexley,E09000004,-47,-7,40,-50,-46,19
18/11/2020,Brent,E09000005,-48,-6,47,-44,-45,18
18/11/2020,Bromley,E09000006,-49,-12,17,-48,-50,22
18/11/2020,Camden,E09000007,-80,-39,-9,-73,-61,25
18/11/2020,Croydon,E09000008,-51,-6,32,-52,-41,19
18/11/2020,Ealing,E09000009,-40,-11,28,-48,-46,19
18/11/2020,Enfield,E09000010,-41,-7,15,-45,-40,17
18/11/2020,Hackney,E09000012,-60,-7,35,-58,-55,23
18/11/2020,Hammersmith and Fulham,E09000013,-67,-27,4,-58,-61,25
18/11/2020,Haringey,E09000014,-50,-13,14,-55,-53,21
18/11/2020,Harrow,E09000015,-49,-9,45,-44,-42,19
18/11/2020,Havering,E09000016,-48,-11,2,-44,-44,18
18/11/2020,Hillingdon,E09000017,-47,-11,41,-70,-41,18
18/11/2020,Hounslow,E09000018,-43,-12,20,-44,-42,18
18/11/2020,Islington,E09000019,-74,-23,21,-68,-65,28
18/11/2020,Lambeth,E09000022,-62,-14,4,-66,-55,25
18/11/2020,Lewisham,E09000023,-43,-1,50,-50,-52,22
18/11/2020,Merton,E09000024,-54,-17,16,-53,-51,21
18/11/2020,Newham,E09000025,-57,-13,130,-52,-45,18
18/11/2020,Redbridge,E09000026,-44,-9,13,-46,-46,18
18/11/2020,Richmond upon Thames,E09000027,-54,-9,24,-55,-59,24
18/11/2020,Southwark,E09000028,-62,-17,-17,-61,-57,24
18/11/2020,Sutton,E09000029,-47,-9,39,-54,-49,19
18/11/2020,Tower Hamlets,E09000030,-64,-23,-30,-66,-62,26
18/11/2020,Waltham Forest,E09000031,-36,-5,21,-51,-47,19
18/11/2020,Wandsworth,E09000032,-55,-13,24,-56,-58,27
18/11/2020,Greenwich,E09000011,-52,-8,2,-45,-51,20
18/11/2020,Kensington and Chelsea,E09000020,-70,-11,-6,-64,-57,23
18/11/2020,Kingston upon Thames,E09000021,-62,-20,NA,-52,-52,22
19/11/2020,City of London,E09000001,-92,-74,-88,-81,-66,NA
19/11/2020,Westminster,E09000033,-87,-47,-62,-75,-64,25
19/11/2020,Barking and Dagenham,E09000002,-38,-6,10,-36,-36,14
19/11/2020,Barnet,E09000003,-47,-11,28,-51,-49,21
19/11/2020,Bexley,E09000004,-49,-6,6,-50,-46,19
19/11/2020,Brent,E09000005,-47,-5,41,-44,-46,18
19/11/2020,Bromley,E09000006,-50,-13,3,-51,-51,22
19/11/2020,Camden,E09000007,-81,-36,-19,-74,-63,27
19/11/2020,Croydon,E09000008,-53,-5,24,-54,-43,19
19/11/2020,Ealing,E09000009,-42,-5,33,-49,-45,19
19/11/2020,Enfield,E09000010,-42,-3,-1,-45,-42,17
19/11/2020,Hackney,E09000012,-63,-5,18,-56,-56,23
19/11/2020,Hammersmith and Fulham,E09000013,-69,-24,-3,-59,-62,25
19/11/2020,Haringey,E09000014,-50,-11,14,-51,-53,21
19/11/2020,Harrow,E09000015,-49,-10,33,-48,-42,19
19/11/2020,Havering,E09000016,-50,-6,-17,-46,-44,18
19/11/2020,Hillingdon,E09000017,-48,-6,43,-69,-42,18
19/11/2020,Hounslow,E09000018,-43,-10,16,-47,-43,18
19/11/2020,Islington,E09000019,-75,-20,4,-68,-65,29
19/11/2020,Lambeth,E09000022,-64,-13,-4,-65,-56,25
19/11/2020,Lewisham,E09000023,-45,-1,33,-51,-55,23
19/11/2020,Merton,E09000024,-54,-16,-2,-52,-52,22
19/11/2020,Newham,E09000025,-57,-14,97,-55,-47,18
19/11/2020,Redbridge,E09000026,-43,-13,-11,-52,-47,18
19/11/2020,Richmond upon Thames,E09000027,-54,-4,32,-55,-59,24
19/11/2020,Southwark,E09000028,-64,-18,-30,-63,-55,25
19/11/2020,Sutton,E09000029,-46,-9,17,-56,-50,20
19/11/2020,Tower Hamlets,E09000030,-65,-23,-37,-68,-64,28
19/11/2020,Waltham Forest,E09000031,-39,-5,7,-51,-49,20
19/11/2020,Wandsworth,E09000032,-57,-10,16,-54,-59,28
19/11/2020,Greenwich,E09000011,-53,-7,-13,-49,-54,21
19/11/2020,Kensington and Chelsea,E09000020,-73,-10,-17,-63,-59,25
19/11/2020,Kingston upon Thames,E09000021,-63,-17,NA,-52,-53,23
20/11/2020,City of London,E09000001,-92,-72,-89,-79,-64,NA
20/11/2020,Westminster,E09000033,-89,-45,-70,-75,-62,25
20/11/2020,Barking and Dagenham,E09000002,-40,2,12,-36,-34,15
20/11/2020,Barnet,E09000003,-50,-9,16,-50,-48,21
20/11/2020,Bexley,E09000004,-50,-2,13,-49,-46,19
20/11/2020,Brent,E09000005,-51,-4,30,-42,-44,19
20/11/2020,Bromley,E09000006,-52,-8,4,-44,-50,22
20/11/2020,Camden,E09000007,-82,-32,-25,-73,-60,26
20/11/2020,Croydon,E09000008,-55,0,15,-51,-42,19
20/11/2020,Ealing,E09000009,-44,-4,19,-47,-45,20
20/11/2020,Enfield,E09000010,-42,0,-9,-42,-39,17
20/11/2020,Hackney,E09000012,-65,-1,12,-54,-54,23
20/11/2020,Hammersmith and Fulham,E09000013,-71,-23,-10,-57,-60,26
20/11/2020,Haringey,E09000014,-50,-7,9,-50,-52,22
20/11/2020,Harrow,E09000015,-54,-5,21,-47,-43,19
20/11/2020,Havering,E09000016,-52,-7,-16,-43,-45,19
20/11/2020,Hillingdon,E09000017,-49,-5,24,-69,-41,19
20/11/2020,Hounslow,E09000018,-44,-9,2,-43,-44,18
20/11/2020,Islington,E09000019,-76,-17,9,-67,-64,29
20/11/2020,Lambeth,E09000022,-66,-8,-15,-63,-56,26
20/11/2020,Lewisham,E09000023,-43,3,20,-47,-53,23
20/11/2020,Merton,E09000024,-57,-7,-11,-51,-49,22
20/11/2020,Newham,E09000025,-57,-11,101,-50,-47,18
20/11/2020,Redbridge,E09000026,-44,-8,-17,-48,-45,19
20/11/2020,Richmond upon Thames,E09000027,-58,0,6,-56,-58,24
20/11/2020,Southwark,E09000028,-64,-13,-32,-60,-56,25
20/11/2020,Sutton,E09000029,-50,-5,13,-53,-49,20
20/11/2020,Tower Hamlets,E09000030,-65,-17,-45,-66,-63,27
20/11/2020,Waltham Forest,E09000031,-40,-2,3,-49,-49,20
20/11/2020,Wandsworth,E09000032,-59,-4,10,-53,-57,27
20/11/2020,Greenwich,E09000011,-55,-4,-15,-43,-52,21
20/11/2020,Kensington and Chelsea,E09000020,-75,-8,-23,-62,-57,24
20/11/2020,Kingston upon Thames,E09000021,-63,-15,48,-52,-51,22
21/11/2020,City of London,E09000001,-88,-56,-78,-71,NA,NA
21/11/2020,Westminster,E09000033,-87,-45,-59,-74,-41,15
21/11/2020,Barking and Dagenham,E09000002,-42,-6,15,-30,-28,11
21/11/2020,Barnet,E09000003,-53,-9,39,-50,-34,13
21/11/2020,Bexley,E09000004,-56,-7,21,-53,-24,13
21/11/2020,Brent,E09000005,-57,-8,45,-46,-35,13
21/11/2020,Bromley,E09000006,-57,-13,15,-42,-28,14
21/11/2020,Camden,E09000007,-79,-35,-6,-73,-33,15
21/11/2020,Croydon,E09000008,-61,-6,47,-55,-26,13
21/11/2020,Ealing,E09000009,-51,-9,47,-51,-33,14
21/11/2020,Enfield,E09000010,-48,-7,22,-44,-27,13
21/11/2020,Hackney,E09000012,-67,-5,34,-59,-35,14
21/11/2020,Hammersmith and Fulham,E09000013,-77,-26,20,-62,-43,15
21/11/2020,Haringey,E09000014,-55,-14,24,-52,-43,14
21/11/2020,Harrow,E09000015,-56,-8,70,-45,-24,13
21/11/2020,Havering,E09000016,-58,-12,9,-45,-26,13
21/11/2020,Hillingdon,E09000017,-51,-10,71,-71,-25,13
21/11/2020,Hounslow,E09000018,-48,-5,7,-47,-32,13
21/11/2020,Islington,E09000019,-75,-6,38,-65,-33,15
21/11/2020,Lambeth,E09000022,-66,-9,-8,-59,-32,15
21/11/2020,Lewisham,E09000023,-49,-6,27,-50,-34,14
21/11/2020,Merton,E09000024,-58,-13,12,-55,-33,14
21/11/2020,Newham,E09000025,-64,-15,78,-51,-34,12
21/11/2020,Redbridge,E09000026,-47,-12,-9,-48,-28,13
21/11/2020,Richmond upon Thames,E09000027,-55,2,22,-55,-38,15
21/11/2020,Southwark,E09000028,-64,-15,-13,-58,-34,14
21/11/2020,Sutton,E09000029,-54,-13,25,-56,-32,14
21/11/2020,Tower Hamlets,E09000030,-60,-21,-28,-64,-36,15
21/11/2020,Waltham Forest,E09000031,-45,-2,7,-49,-37,13
21/11/2020,Wandsworth,E09000032,-62,-8,30,-56,-34,16
21/11/2020,Greenwich,E09000011,-61,-9,-10,-46,-35,13
